campus-engine  | 2026-05-09 16:49:55 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f06-r612 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:56 | mqtt.publisher | INFO | MQTT node mqtt-b01-f03-r309 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:56 | nodes.mqtt_node | ERROR | MQTT node b01-f06-r609 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:56 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1009 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:56 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r104 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:56 | coap.node | INFO | CoAP node b01-f02-r219 listening on port 5902
campus-engine  | 2026-05-09 16:49:56 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f02-r219 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:56 | coap.node | INFO | CoAP node b01-f06-r619 listening on port 6302
campus-engine  | 2026-05-09 16:49:56 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f06-r619 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:56 | coap.node | INFO | CoAP node b01-f08-r819 listening on port 6502
campus-engine  | 2026-05-09 16:49:56 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f08-r819 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:58 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r110 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:58 | nodes.mqtt_node | ERROR | MQTT node b01-f07-r703 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:58 | coap.node | INFO | CoAP node b01-f09-r911 listening on port 6594
campus-engine  | 2026-05-09 16:49:58 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f09-r911 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:58 | coap.node | INFO | CoAP node b01-f08-r817 listening on port 6500
campus-engine  | 2026-05-09 16:49:58 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f08-r817 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:58 | coap.node | INFO | CoAP node b01-f06-r616 listening on port 6299
campus-engine  | 2026-05-09 16:49:58 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f06-r616 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1007 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:59 | coap.node | INFO | CoAP node b01-f06-r613 listening on port 6296
campus-engine  | 2026-05-09 16:49:59 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f06-r613 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f05-r506 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1002 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f03-r301 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f07-r704 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:59 | coap.node | INFO | CoAP node b01-f09-r918 listening on port 6601
campus-engine  | 2026-05-09 16:49:59 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f09-r918 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r105 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:49:59 | coap.node | INFO | CoAP node b01-f10-r1013 listening on port 6696
campus-engine  | 2026-05-09 16:49:59 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f10-r1013 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:59 | coap.node | INFO | CoAP node b01-f08-r811 listening on port 6494
campus-engine  | 2026-05-09 16:49:59 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f08-r811 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:49:59 | nodes.mqtt_node | ERROR | MQTT node b01-f08-r807 failed to connect: [Errno -2] Name or service not known
campus-engine  | 2026-05-09 16:50:01 | nodes.mqtt_node | ERROR | MQTT node b01-f06-r605 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:01 | coap.node | INFO | CoAP node b01-f01-r115 listening on port 5798
campus-engine  | 2026-05-09 16:50:01 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f01-r115 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:03 | nodes.mqtt_node | ERROR | MQTT node b01-f09-r910 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:03 | nodes.mqtt_node | ERROR | MQTT node b01-f05-r503 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:03 | coap.node | INFO | CoAP node b01-f09-r915 listening on port 6598
campus-engine  | 2026-05-09 16:50:03 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f09-r915 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:03 | coap.node | INFO | CoAP node b01-f08-r816 listening on port 6499
campus-engine  | 2026-05-09 16:50:03 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f08-r816 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:03 | models.room | WARNING | Sensor frozen on b01-f02-r215 until 1778345434
campus-engine  | 2026-05-09 16:50:03 | coap.node | INFO | CoAP node b01-f07-r720 listening on port 6403
campus-engine  | 2026-05-09 16:50:03 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f07-r720 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:06 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1010 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:06 | coap.node | INFO | CoAP node b01-f03-r316 listening on port 5999
campus-engine  | 2026-05-09 16:50:06 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f03-r316 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:06 | coap.node | INFO | CoAP node b01-f07-r719 listening on port 6402
campus-engine  | 2026-05-09 16:50:06 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f07-r719 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:06 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1001 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | nodes.coap_node | WARNING | CoAP shadow failed for b01-f05-r511: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | models.room | WARNING | Sensor frozen on b01-f05-r511 until 1778345438
campus-engine  | 2026-05-09 16:50:07 | models.room | WARNING | Node dropout on b01-f05-r511 until 1778345438
campus-engine  | 2026-05-09 16:50:07 | coap.node | INFO | CoAP node b01-f07-r713 listening on port 6396
campus-engine  | 2026-05-09 16:50:07 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f07-r713 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:07 | coap.node | INFO | CoAP node b01-f03-r311 listening on port 5994
campus-engine  | 2026-05-09 16:50:07 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f03-r311 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:07 | nodes.coap_node | WARNING | CoAP shadow failed for b01-f09-r912: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | nodes.coap_node | WARNING | CoAP shadow failed for b01-f01-r118: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | nodes.mqtt_node | ERROR | MQTT node b01-f10-r1003 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | coap.node | INFO | CoAP node b01-f03-r312 listening on port 5995
campus-engine  | 2026-05-09 16:50:07 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f03-r312 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:07 | coap.node | INFO | CoAP node b01-f02-r218 listening on port 5901
campus-engine  | 2026-05-09 16:50:07 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f02-r218 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:07 | coap.node | INFO | CoAP node b01-f07-r711 listening on port 6394
campus-engine  | 2026-05-09 16:50:07 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f07-r711 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:07 | nodes.mqtt_node | ERROR | MQTT node b01-f05-r504 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | nodes.mqtt_node | ERROR | MQTT node b01-f08-r810 failed to connect: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:07 | coap.node | INFO | CoAP node b01-f05-r515 listening on port 6198
campus-engine  | 2026-05-09 16:50:07 | mqtt.publisher | INFO | MQTT node coap-shadow-b01-f05-r515 connecting to hivemq:1883 (tls=False)
campus-engine  | 2026-05-09 16:50:07 | nodes.coap_node | WARNING | CoAP shadow failed for b01-f07-r717: [Errno -3] Temporary failure in name resolution
campus-engine  | 2026-05-09 16:50:09 | models.room | WARNING | Sensor frozen on b01-f07-r718 until 1778345440
campus-engine  | 2026-05-09 16:50:09 | nodes.mqtt_node | ERROR | MQTT node b01-f01-r106 failed to connect: [Errno -3] Temporary failure in name resolution
